iteration,size,popSize,mutProb,iter,popTop,attack,time,
1,25,300,0.1,1000,0.1,2,1547,
2,25,300,0.1,1000,0.1,1,1537,
3,25,300,0.1,1000,0.1,3,1476,
4,25,300,0.1,1000,0.1,1,1430,
5,25,300,0.1,1000,0.1,1,1331,
6,25,300,0.1,1000,0.1,1,1341,
7,25,300,0.1,1000,0.1,0,939,
8,25,300,0.1,1000,0.1,1,1336,
9,25,300,0.1,1000,0.1,3,1230,
10,25,300,0.1,1000,0.1,1,1357,
11,25,300,0.1,1000,0.1,0,83,
12,25,300,0.1,1000,0.1,1,1278,
13,25,300,0.1,1000,0.1,0,176,
14,25,300,0.1,1000,0.1,1,1274,
15,25,300,0.1,1000,0.1,1,1367,
16,25,300,0.1,1000,0.1,2,1355,
17,25,300,0.1,1000,0.1,2,1436,
18,25,300,0.1,1000,0.1,1,1262,
19,25,300,0.1,1000,0.1,1,1311,
20,25,300,0.1,1000,0.1,1,1352,
21,25,300,0.1,1000,0.1,0,654,
22,25,300,0.1,1000,0.1,2,1387,
23,25,300,0.1,1000,0.1,1,1301,
24,25,300,0.1,1000,0.1,0,101,
25,25,300,0.1,1000,0.1,0,773,
26,25,300,0.1,1000,0.1,2,1368,
27,25,300,0.1,1000,0.1,1,1329,
28,25,300,0.1,1000,0.1,2,1407,
29,25,300,0.1,1000,0.1,1,1320,
30,25,300,0.1,1000,0.1,2,1391,
31,25,300,0.1,1000,0.1,1,1394,
32,25,300,0.1,1000,0.1,1,1346,
33,25,300,0.1,1000,0.1,1,1470,
34,25,300,0.1,1000,0.1,2,1572,
35,25,300,0.1,1000,0.1,1,1651,
36,25,300,0.1,1000,0.1,2,1325,
37,25,300,0.1,1000,0.1,1,1383,
38,25,300,0.1,1000,0.1,0,1578,
39,25,300,0.1,1000,0.1,0,1004,
40,25,300,0.1,1000,0.1,0,1368,
41,25,300,0.1,1000,0.1,1,1480,
42,25,300,0.1,1000,0.1,2,1463,
43,25,300,0.1,1000,0.1,2,1439,
44,25,300,0.1,1000,0.1,1,1469,
45,25,300,0.1,1000,0.1,1,1393,
46,25,300,0.1,1000,0.1,1,1325,
