iteration,size,popSize,mutProb,iter,popTop,attack,time,
1,25,300,0.05,5000,0.1,2,4515,
2,25,300,0.05,5000,0.1,0,3983,
3,25,300,0.05,5000,0.1,1,4174,
4,25,300,0.05,5000,0.1,1,4690,
5,25,300,0.05,5000,0.1,0,3169,
6,25,300,0.05,5000,0.1,1,4916,
7,25,300,0.05,5000,0.1,0,3135,
8,25,300,0.05,5000,0.1,1,4230,
9,25,300,0.05,5000,0.1,1,4103,
10,25,300,0.05,5000,0.1,1,4483,
11,25,300,0.05,5000,0.1,1,4275,
12,25,300,0.05,5000,0.1,1,4393,
13,25,300,0.05,5000,0.1,2,4921,
14,25,300,0.05,5000,0.1,0,704,
15,25,300,0.05,5000,0.1,1,4390,
16,25,300,0.05,5000,0.1,2,4437,
17,25,300,0.05,5000,0.1,1,4368,
18,25,300,0.05,5000,0.1,1,4650,
19,25,300,0.05,5000,0.1,2,4324,
20,25,300,0.05,5000,0.1,2,4571,
21,25,300,0.05,5000,0.1,0,872,
22,25,300,0.05,5000,0.1,1,4308,
23,25,300,0.05,5000,0.1,1,3887,
24,25,300,0.05,5000,0.1,1,4403,
25,25,300,0.05,5000,0.1,2,4457,
26,25,300,0.05,5000,0.1,1,4426,
27,25,300,0.05,5000,0.1,2,4336,
28,25,300,0.05,5000,0.1,1,4918,
29,25,300,0.05,5000,0.1,1,5272,
30,25,300,0.05,5000,0.1,1,4676,
31,25,300,0.05,5000,0.1,0,3701,
32,25,300,0.05,5000,0.1,1,4092,
33,25,300,0.05,5000,0.1,0,1549,
34,25,300,0.05,5000,0.1,3,4230,
35,25,300,0.05,5000,0.1,1,4853,
36,25,300,0.05,5000,0.1,1,4551,
37,25,300,0.05,5000,0.1,0,3414,
38,25,300,0.05,5000,0.1,1,4352,
39,25,300,0.05,5000,0.1,1,4471,
40,25,300,0.05,5000,0.1,1,4528,
41,25,300,0.05,5000,0.1,1,4320,
42,25,300,0.05,5000,0.1,0,3612,
43,25,300,0.05,5000,0.1,1,4377,
44,25,300,0.05,5000,0.1,0,1339,
45,25,300,0.05,5000,0.1,1,4448,
46,25,300,0.05,5000,0.1,1,4473,
47,25,300,0.05,5000,0.1,1,4407,
48,25,300,0.05,5000,0.1,1,6967,
49,25,300,0.05,5000,0.1,2,4387,
50,25,300,0.05,5000,0.1,2,4198,
51,25,300,0.05,5000,0.1,1,4681,
52,25,300,0.05,5000,0.1,0,3659,
53,25,300,0.05,5000,0.1,2,4640,
54,25,300,0.05,5000,0.1,1,4689,
55,25,300,0.05,5000,0.1,2,4410,
56,25,300,0.05,5000,0.1,1,4248,
57,25,300,0.05,5000,0.1,1,4124,
58,25,300,0.05,5000,0.1,0,2936,
59,25,300,0.05,5000,0.1,1,4703,
60,25,300,0.05,5000,0.1,1,4911,
61,25,300,0.05,5000,0.1,1,4649,
62,25,300,0.05,5000,0.1,1,4651,
63,25,300,0.05,5000,0.1,1,4230,
64,25,300,0.05,5000,0.1,0,2358,
65,25,300,0.05,5000,0.1,1,4560,
66,25,300,0.05,5000,0.1,0,2691,
67,25,300,0.05,5000,0.1,0,871,
68,25,300,0.05,5000,0.1,1,4914,
69,25,300,0.05,5000,0.1,2,4833,
70,25,300,0.05,5000,0.1,0,2033,
71,25,300,0.05,5000,0.1,1,4326,
72,25,300,0.05,5000,0.1,1,4024,
73,25,300,0.05,5000,0.1,2,4100,
74,25,300,0.05,5000,0.1,1,4021,
75,25,300,0.05,5000,0.1,0,3901,
