iteration,size,popSize,mutProb,iter,popTop,attack,time
1,25,100,0.1,5000,0.1,1,2032
2,25,100,0.1,5000,0.1,0,562
3,25,100,0.1,5000,0.1,1,1944
4,25,100,0.1,5000,0.1,1,1986
5,25,100,0.1,5000,0.1,1,1966
6,25,100,0.1,5000,0.1,1,1897
7,25,100,0.1,5000,0.1,2,1996
8,25,100,0.1,5000,0.1,1,1879
9,25,100,0.1,5000,0.1,0,453
10,25,100,0.1,5000,0.1,1,1969
11,25,100,0.1,5000,0.1,1,1909
12,25,100,0.1,5000,0.1,0,738
13,25,100,0.1,5000,0.1,1,1973
14,25,100,0.1,5000,0.1,1,1826
15,25,100,0.1,5000,0.1,0,964
16,25,100,0.1,5000,0.1,1,1930
17,25,100,0.1,5000,0.1,1,1962
18,25,100,0.1,5000,0.1,0,1154
19,25,100,0.1,5000,0.1,0,689
20,25,100,0.1,5000,0.1,0,334
21,25,100,0.1,5000,0.1,0,449
22,25,100,0.1,5000,0.1,1,1924
23,25,100,0.1,5000,0.1,1,1974
24,25,100,0.1,5000,0.1,1,1969
25,25,100,0.1,5000,0.1,1,1933
26,25,100,0.1,5000,0.1,1,1910
27,25,100,0.1,5000,0.1,0,611
28,25,100,0.1,5000,0.1,0,2129
29,25,100,0.1,5000,0.1,1,2209
30,25,100,0.1,5000,0.1,0,1070
31,25,100,0.1,5000,0.1,0,845
32,25,100,0.1,5000,0.1,1,2005
33,25,100,0.1,5000,0.1,0,1142
34,25,100,0.1,5000,0.1,0,1948
35,25,100,0.1,5000,0.1,1,2023
36,25,100,0.1,5000,0.1,1,2142
37,25,100,0.1,5000,0.1,1,2102
38,25,100,0.1,5000,0.1,1,1972
39,25,100,0.1,5000,0.1,1,1937
40,25,100,0.1,5000,0.1,0,621
41,25,100,0.1,5000,0.1,1,1981
42,25,100,0.1,5000,0.1,2,1961
43,25,100,0.1,5000,0.1,0,128
44,25,100,0.1,5000,0.1,1,1886
45,25,100,0.1,5000,0.1,1,1906
46,25,100,0.1,5000,0.1,1,1921
47,25,100,0.1,5000,0.1,1,1880
48,25,100,0.1,5000,0.1,1,1963
49,25,100,0.1,5000,0.1,0,225
50,25,100,0.1,5000,0.1,0,1480
51,25,100,0.1,5000,0.1,1,2059
52,25,100,0.1,5000,0.1,1,1975
53,25,100,0.1,5000,0.1,2,1955
54,25,100,0.1,5000,0.1,1,2035
55,25,100,0.1,5000,0.1,0,1223
56,25,100,0.1,5000,0.1,0,1606
57,25,100,0.1,5000,0.1,1,2020
58,25,100,0.1,5000,0.1,1,1965
59,25,100,0.1,5000,0.1,0,254
60,25,100,0.1,5000,0.1,1,2079
61,25,100,0.1,5000,0.1,0,206
62,25,100,0.1,5000,0.1,0,638
63,25,100,0.1,5000,0.1,1,1992
64,25,100,0.1,5000,0.1,0,449
65,25,100,0.1,5000,0.1,0,748
66,25,100,0.1,5000,0.1,0,975
67,25,100,0.1,5000,0.1,0,644
68,25,100,0.1,5000,0.1,1,1948
69,25,100,0.1,5000,0.1,0,623
70,25,100,0.1,5000,0.1,0,858
71,25,100,0.1,5000,0.1,0,1083
72,25,100,0.1,5000,0.1,0,1810
73,25,100,0.1,5000,0.1,0,1457
74,25,100,0.1,5000,0.1,1,1861
75,25,100,0.1,5000,0.1,0,1345
76,25,100,0.1,5000,0.1,1,1848
77,25,100,0.1,5000,0.1,1,1848
78,25,100,0.1,5000,0.1,0,90
79,25,100,0.1,5000,0.1,1,1950
80,25,100,0.1,5000,0.1,1,2002
81,25,100,0.1,5000,0.1,0,989
82,25,100,0.1,5000,0.1,1,2257
83,25,100,0.1,5000,0.1,1,2092
84,25,100,0.1,5000,0.1,1,2022
85,25,100,0.1,5000,0.1,1,1940
86,25,100,0.1,5000,0.1,1,1908
87,25,100,0.1,5000,0.1,1,1916
88,25,100,0.1,5000,0.1,1,1921
89,25,100,0.1,5000,0.1,1,1946
90,25,100,0.1,5000,0.1,1,1887
91,25,100,0.1,5000,0.1,0,449
92,25,100,0.1,5000,0.1,0,453
93,25,100,0.1,5000,0.1,1,1855
94,25,100,0.1,5000,0.1,1,1964
95,25,100,0.1,5000,0.1,1,1859
96,25,100,0.1,5000,0.1,1,1906
97,25,100,0.1,5000,0.1,1,1931
98,25,100,0.1,5000,0.1,2,1984
99,25,100,0.1,5000,0.1,0,1312
100,25,100,0.1,5000,0.1,0,737
101,25,100,0.1,5000,0.1,1,1935
102,25,100,0.1,5000,0.1,1,1909
103,25,100,0.1,5000,0.1,2,1876
104,25,100,0.1,5000,0.1,1,1863
105,25,100,0.1,5000,0.1,1,1931
106,25,100,0.1,5000,0.1,0,1714
107,25,100,0.1,5000,0.1,1,1906
