iteration,size,popSize,mutProb,iter,popTop,attack,time,
1,25,300,0.1,5000,0.05,1,9491,
2,25,300,0.1,5000,0.05,1,8948,
3,25,300,0.1,5000,0.05,0,5132,
4,25,300,0.1,5000,0.05,0,9040,
5,25,300,0.1,5000,0.05,1,10013,
6,25,300,0.1,5000,0.05,1,10225,
7,25,300,0.1,5000,0.05,0,2587,
8,25,300,0.1,5000,0.05,0,8962,
9,25,300,0.1,5000,0.05,1,10327,
10,25,300,0.1,5000,0.05,0,2491,
11,25,300,0.1,5000,0.05,0,8560,
12,25,300,0.1,5000,0.05,0,391,
13,25,300,0.1,5000,0.05,1,10562,
14,25,300,0.1,5000,0.05,1,9817,
15,25,300,0.1,5000,0.05,1,10324,
16,25,300,0.1,5000,0.05,0,4210,
17,25,300,0.1,5000,0.05,1,10265,
18,25,300,0.1,5000,0.05,1,9866,
19,25,300,0.1,5000,0.05,0,2004,
20,25,300,0.1,5000,0.05,1,10488,
21,25,300,0.1,5000,0.05,1,10328,
22,25,300,0.1,5000,0.05,1,10075,
23,25,300,0.1,5000,0.05,1,10581,
24,25,300,0.1,5000,0.05,1,10333,
25,25,300,0.1,5000,0.05,1,9667,
26,25,300,0.1,5000,0.05,0,3874,
27,25,300,0.1,5000,0.05,1,9862,
28,25,300,0.1,5000,0.05,1,10159,
29,25,300,0.1,5000,0.05,0,1663,
30,25,300,0.1,5000,0.05,0,6213,
31,25,300,0.1,5000,0.05,1,10393,
32,25,300,0.1,5000,0.05,1,10521,
33,25,300,0.1,5000,0.05,0,1809,
34,25,300,0.1,5000,0.05,1,10046,
35,25,300,0.1,5000,0.05,0,2967,
36,25,300,0.1,5000,0.05,0,3575,
37,25,300,0.1,5000,0.05,1,10043,
38,25,300,0.1,5000,0.05,1,9705,
39,25,300,0.1,5000,0.05,1,10029,
40,25,300,0.1,5000,0.05,0,7213,
41,25,300,0.1,5000,0.05,1,9751,
42,25,300,0.1,5000,0.05,0,794,
43,25,300,0.1,5000,0.05,1,10152,
44,25,300,0.1,5000,0.05,1,9796,
45,25,300,0.1,5000,0.05,0,5843,
46,25,300,0.1,5000,0.05,0,1754,
47,25,300,0.1,5000,0.05,0,6247,
48,25,300,0.1,5000,0.05,1,9372,
49,25,300,0.1,5000,0.05,1,9852,
50,25,300,0.1,5000,0.05,0,3930,
51,25,300,0.1,5000,0.05,1,10844,
52,25,300,0.1,5000,0.05,1,10134,
53,25,300,0.1,5000,0.05,1,10760,
54,25,300,0.1,5000,0.05,2,10476,
55,25,300,0.1,5000,0.05,1,9755,
56,25,300,0.1,5000,0.05,2,10527,
57,25,300,0.1,5000,0.05,0,5327,
58,25,300,0.1,5000,0.05,0,8761,
59,25,300,0.1,5000,0.05,0,10221,
60,25,300,0.1,5000,0.05,1,10719,
61,25,300,0.1,5000,0.05,1,10627,
62,25,300,0.1,5000,0.05,1,10711,
63,25,300,0.1,5000,0.05,0,1286,
64,25,300,0.1,5000,0.05,1,10784,
65,25,300,0.1,5000,0.05,1,10760,
66,25,300,0.1,5000,0.05,1,8873,
67,25,300,0.1,5000,0.05,0,5033,
68,25,300,0.1,5000,0.05,1,7229,
69,25,300,0.1,5000,0.05,1,7610,
70,25,300,0.1,5000,0.05,1,7846,
71,25,300,0.1,5000,0.05,0,4687,
72,25,300,0.1,5000,0.05,1,6064,
73,25,300,0.1,5000,0.05,1,6239,
74,25,300,0.1,5000,0.05,0,1387,
75,25,300,0.1,5000,0.05,0,4064,
76,25,300,0.1,5000,0.05,1,6323,
77,25,300,0.1,5000,0.05,1,5893,
78,25,300,0.1,5000,0.05,1,6900,
79,25,300,0.1,5000,0.05,1,6399,
80,25,300,0.1,5000,0.05,0,1715,
81,25,300,0.1,5000,0.05,2,6849,
82,25,300,0.1,5000,0.05,1,6806,
83,25,300,0.1,5000,0.05,1,7308,
84,25,300,0.1,5000,0.05,0,4014,
85,25,300,0.1,5000,0.05,1,7328,
86,25,300,0.1,5000,0.05,1,8062,
87,25,300,0.1,5000,0.05,1,7194,
88,25,300,0.1,5000,0.05,1,6236,
89,25,300,0.1,5000,0.05,1,6827,
90,25,300,0.1,5000,0.05,0,5555,
91,25,300,0.1,5000,0.05,1,7615,
92,25,300,0.1,5000,0.05,1,7629,
93,25,300,0.1,5000,0.05,1,7067,
94,25,300,0.1,5000,0.05,0,1848,
95,25,300,0.1,5000,0.05,0,5575,
96,25,300,0.1,5000,0.05,1,7612,
97,25,300,0.1,5000,0.05,1,6899,
98,25,300,0.1,5000,0.05,0,5283,
99,25,300,0.1,5000,0.05,1,6824,
100,25,300,0.1,5000,0.05,1,6990,
1,25,300,0.1,5000,0.1,0,3535,
2,25,300,0.1,5000,0.1,0,934,
3,25,300,0.1,5000,0.1,0,1251,
4,25,300,0.1,5000,0.1,1,7810,
5,25,300,0.1,5000,0.1,2,8871,
6,25,300,0.1,5000,0.1,0,590,
7,25,300,0.1,5000,0.1,1,13180,
8,25,300,0.1,5000,0.1,1,12811,
9,25,300,0.1,5000,0.1,1,9504,
10,25,300,0.1,5000,0.1,0,3084,
11,25,300,0.1,5000,0.1,0,2376,
12,25,300,0.1,5000,0.1,1,10721,
13,25,300,0.1,5000,0.1,1,7287,
14,25,300,0.1,5000,0.1,1,6394,
15,25,300,0.1,5000,0.1,1,9268,
16,25,300,0.1,5000,0.1,0,2162,
17,25,300,0.1,5000,0.1,0,12183,
18,25,300,0.1,5000,0.1,1,12008,
19,25,300,0.1,5000,0.1,1,11343,
20,25,300,0.1,5000,0.1,0,6753,
21,25,300,0.1,5000,0.1,1,10785,
22,25,300,0.1,5000,0.1,1,10965,
23,25,300,0.1,5000,0.1,0,6575,
24,25,300,0.1,5000,0.1,0,3930,
25,25,300,0.1,5000,0.1,0,2421,
26,25,300,0.1,5000,0.1,1,10225,
27,25,300,0.1,5000,0.1,1,9059,
28,25,300,0.1,5000,0.1,1,6874,
29,25,300,0.1,5000,0.1,1,9856,
30,25,300,0.1,5000,0.1,0,1919,
31,25,300,0.1,5000,0.1,1,10420,
32,25,300,0.1,5000,0.1,0,5626,
33,25,300,0.1,5000,0.1,0,690,
34,25,300,0.1,5000,0.1,0,9562,
35,25,300,0.1,5000,0.1,1,10598,
36,25,300,0.1,5000,0.1,1,10852,
37,25,300,0.1,5000,0.1,1,10900,
38,25,300,0.1,5000,0.1,1,9901,
39,25,300,0.1,5000,0.1,1,10135,
40,25,300,0.1,5000,0.1,0,7892,
41,25,300,0.1,5000,0.1,0,7027,
42,25,300,0.1,5000,0.1,1,10290,
43,25,300,0.1,5000,0.1,1,9134,
44,25,300,0.1,5000,0.1,1,6476,
45,25,300,0.1,5000,0.1,2,7110,
46,25,300,0.1,5000,0.1,1,6494,
47,25,300,0.1,5000,0.1,0,1478,
48,25,300,0.1,5000,0.1,1,6160,
49,25,300,0.1,5000,0.1,0,1009,
50,25,300,0.1,5000,0.1,1,6459,
51,25,300,0.1,5000,0.1,1,6664,
52,25,300,0.1,5000,0.1,1,6308,
53,25,300,0.1,5000,0.1,1,6084,
54,25,300,0.1,5000,0.1,1,5999,
55,25,300,0.1,5000,0.1,0,902,
56,25,300,0.1,5000,0.1,0,778,
57,25,300,0.1,5000,0.1,1,6057,
58,25,300,0.1,5000,0.1,1,6235,
59,25,300,0.1,5000,0.1,1,6498,
60,25,300,0.1,5000,0.1,0,135,
61,25,300,0.1,5000,0.1,0,4760,
62,25,300,0.1,5000,0.1,0,1413,
63,25,300,0.1,5000,0.1,1,6126,
64,25,300,0.1,5000,0.1,1,5988,
65,25,300,0.1,5000,0.1,1,6392,
66,25,300,0.1,5000,0.1,1,6771,
67,25,300,0.1,5000,0.1,0,3926,
68,25,300,0.1,5000,0.1,1,6076,
69,25,300,0.1,5000,0.1,0,3189,
70,25,300,0.1,5000,0.1,1,6349,
71,25,300,0.1,5000,0.1,1,6395,
72,25,300,0.1,5000,0.1,0,1182,
73,25,300,0.1,5000,0.1,2,5925,
74,25,300,0.1,5000,0.1,0,784,
75,25,300,0.1,5000,0.1,1,6290,
76,25,300,0.1,5000,0.1,0,3437,
77,25,300,0.1,5000,0.1,1,6320,
78,25,300,0.1,5000,0.1,0,320,
79,25,300,0.1,5000,0.1,0,4063,
80,25,300,0.1,5000,0.1,1,6279,
81,25,300,0.1,5000,0.1,0,5601,
82,25,300,0.1,5000,0.1,1,5667,
83,25,300,0.1,5000,0.1,2,6269,
84,25,300,0.1,5000,0.1,1,6017,
85,25,300,0.1,5000,0.1,0,771,
86,25,300,0.1,5000,0.1,1,6128,
87,25,300,0.1,5000,0.1,0,4308,
88,25,300,0.1,5000,0.1,0,2139,
89,25,300,0.1,5000,0.1,1,6169,
90,25,300,0.1,5000,0.1,0,1558,
91,25,300,0.1,5000,0.1,0,6094,
92,25,300,0.1,5000,0.1,0,2070,
93,25,300,0.1,5000,0.1,0,3812,
94,25,300,0.1,5000,0.1,0,3488,
